Feature	F-value	P-value
img_green_mean_date4	0.03778210882762994	0.8458814540938867
geography_typeSnow	0.05005718567089402	0.8229639505950567
date4	0.05295981291133417	0.8179909194703081
img_green_mean_prop_date2	0.07494120783571705	0.7842739299339228
img_blue_mean_date2	0.1337874736670484	0.714537192372803
img_green_mean_prop_rate	0.17242588501285255	0.6779650858886783
img_green_std_date1	0.2229896957213842	0.6367716496344673
img_blue_std_date1	0.4276838961391313	0.5131281267860297
img_blue_mean_date4	0.4394370309727231	0.5073948177001969
geography_typeRiver	0.4498689626754946	0.5023977115484451
civilizating_rate	0.4694407704380859	0.493245089114113
img_red_std_date1	0.48325903948875737	0.4869503479133547
geography_typeHills	0.5135542631383881	0.4736048426054629
img_blue_mean_date5	1.06378708560948	0.30235386736531866
geography_typeDesert	1.102041545581938	0.2938193632400363
convex	2.4540511538707817	0.11722305285575924
img_green_mean_date2	2.5253772806991157	0.1120290509091504
img_blue_mean_delta5	2.9273611412530065	0.08709078422083578
img_blue_std_date3	3.5781370218090665	0.058545747847281004
img_green_mean_delta5	4.099902431964595	0.04288658375276794
img_green_mean_date5	5.085032471236162	0.024133951888924567
length_dif1	5.251565522331807	0.021927733238254875
length_dif2	5.593180615975332	0.018031168619043116
img_green_std_date3	6.112285549055868	0.013425099477314047
img_red_mean_date4	7.281407270957864	0.006967588174719323
urban_typeUrban Slum	7.43853763622609	0.006384550395803755
geography_typeBarren Land	7.595917479056684	0.0058504194542652955
img_blue_mean_prop_date3	7.782318607589763	0.0052763409771384474
img_red_std_delta4	7.955589454183687	0.004794227946004152
img_blue_mean_prop_date4	8.16484726356846	0.004271304559789593
geography_typeGrass Land	8.186234945422427	0.004221238876784954
img_red_mean_date2	8.25986781200365	0.004053396227112964
img_red_mean_delta_total	8.375546736379485	0.003803308765929977
img_green_mean_prop_date5	8.792411045371061	0.003025103111220904
img_green_std_delta4	10.194664586892998	0.0014086229476483218
change_status_date3	11.562836034606471	0.0006729202460849047
img_red_mean_delta5	11.746869862853401	0.0006095392702649247
img_red_std_delta3	12.039059053474995	0.0005210467117137438
urban_typeN,A	12.545661486757142	0.00039718824041955333
urban_typeRural	13.639472096728133	0.00022151946812007866
img_red_std_date3	14.163897608440523	0.00016758710855772162
urban_typeSparse Urban	14.89618770558643	0.00011361638565884921
dif_convex_prop_area	15.61996733076164	7.745054914420664e-05
img_green_mean_delta3	16.00449234159013	6.32076980684844e-05
img_blue_std_delta5	18.426639931956988	1.7662811635594455e-05
paralelogram	18.499093155644697	1.7003948399328634e-05
img_red_mean_delta4	18.663714026983218	1.559723830350169e-05
img_green_std_delta3	18.725527654081468	1.5099748757183865e-05
img_blue_std_delta3	19.031267279598016	1.2863733063654293e-05
angle	19.4173716084819	1.0508401450238415e-05
img_red_mean_delta3	20.460728569166925	6.08909817115712e-06
img_red_std_delta5	20.61989599743554	5.603301637874627e-06
img_blue_std_delta4	20.95285936938775	4.7091556625836625e-06
num_vertices	23.195623428460166	1.4640208961992133e-06
img_blue_mean_prop_date1	23.340031505617755	1.3581289088326707e-06
change_status_date2	23.975084941006227	9.76416946124957e-07
date_delta1	25.45527533588324	4.5302482480557597e-07
geography_typeCoastal	25.819038017007138	3.7519877421699817e-07
img_green_mean_delta_total	26.355467584951178	2.8419281407160276e-07
change_status_date4	26.473154853101367	2.6739592678277064e-07
img_green_std_delta5	26.533471055985924	2.5917675283460495e-07
img_green_mean_delta4	26.844043126544875	2.2069718124355729e-07
img_blue_mean_delta4	26.874504547217104	2.1724618235208688e-07
img_blue_std_delta2	27.799075877172612	1.34684444274997e-07
img_green_mean_prop_date1	28.79377359217287	8.056975134472332e-08
img_green_mean_date3	31.86934256407513	1.6504956630930418e-08
img_green_mean_delta2	32.850028304271646	9.964580458408924e-09
urban_typeDense Urban	34.903317438630374	3.468666929434479e-09
img_green_std_delta2	35.04010716353806	3.2333754090258433e-09
img_blue_mean_date3	35.919781817234266	2.0584695619519414e-09
img_green_std_date4	36.27846453807238	1.7124398611720137e-09
img_blue_mean_delta3	38.37226161268784	5.853387058827721e-10
img_red_std_delta2	38.525004465074744	5.41279108948912e-10
img_red_mean_prop_date3	39.24752449492495	3.7385167359277917e-10
img_red_mean_date5	39.416610074830785	3.4284412741181434e-10
img_red_mean_delta2	39.68104429802002	2.9943120233302744e-10
img_red_mean_prop_date4	40.39883632219607	2.0736384575766855e-10
geography_typeN,A	41.31460812797499	1.2979257934859828e-10
img_blue_mean_delta2	42.235198281229856	8.105790063364769e-11
img_blue_mean_date1	42.32975943773063	7.723242499753209e-11
img_blue_std_date2	44.24738223179098	2.898912153946005e-11
date3	45.20389463317051	1.7787159873525412e-11
img_red_std_date4	47.88711460324638	4.52390058652057e-12
img_blue_std_date4	48.38947030508775	3.5015919003903187e-12
img_green_mean_prop_date3	50.13145522287387	1.441009961350189e-12
img_green_std_date2	51.85521965900626	5.988859393779571e-13
img_red_mean_prop_date1	51.902858816546264	5.845328020479791e-13
geography_typeLakes	53.078440877785994	3.2128239647841455e-13
img_red_mean_date3	53.19898853090762	3.02161772063729e-13
img_blue_mean_delta_total	54.08432976601851	1.925591598599596e-13
geography_typeSparse Forest	54.96677950400618	1.229086989415224e-13
img_green_mean_date1	56.5786781899706	5.4145368509565506e-14
img_red_std_date2	60.29698871794829	8.183108165848568e-15
geography_typeDense Forest	62.19351391353318	3.1236219488131963e-15
img_red_mean_prop_rate	62.85553879751585	2.2320373705668427e-15
img_green_mean_prop_date4	64.0209992799126	1.2353994858196932e-15
img_blue_mean_prop_rate	68.45911774508573	1.3006378165350247e-16
img_red_mean_prop_date2	71.29138264976312	3.095407467007761e-17
img_blue_mean_prop_date2	77.42836187726608	1.383408459475777e-18
date_delta4	81.20871241350683	2.0425610666277691e-19
img_red_mean_date1	86.14326015681861	1.6843721555806898e-20
geography_typeFarms	91.34969225989018	1.212684057732522e-21
img_blue_std_delta_total	98.76092471763049	2.8730361127775335e-23
img_green_std_delta_total	104.54977313072784	1.5474176055593975e-24
change_status_date1	105.18568071228239	1.122738286333339e-24
img_red_std_delta_total	108.76345760256471	1.8472428327336463e-25
compactness	112.16522546877829	3.32311791905833e-26
length	113.74032632104154	1.5020063791751909e-26
img_blue_std_rate	127.48494083368007	1.4754181050205206e-29
img_green_std_rate	128.62765212399955	8.298087519564697e-30
img_blue_std_date5	138.51351470690054	5.720299491261357e-32
img_red_std_rate	139.17698052990553	4.096319283255751e-32
img_green_std_date5	139.66602685819004	3.202564897121422e-32
img_red_std_date5	148.35647996597618	4.040004779017169e-34
date_delta3	158.63768014199627	2.2942758115749293e-36
change_status_date0	191.58521365806396	1.4788077034513974e-43
index	202.5097484031715	6.12832556962012e-46
date2	216.7052062122978	4.925535869282329e-49
img_blue_mean_prop_date5	233.7638468752579	9.434816740812781e-53
img_red_mean_prop_date5	233.78614429129146	9.329856071806724e-53
urban_typeIndustrial	263.251329571789	3.559636113332129e-59
rect_area	277.5364003500057	2.7598832863487133e-62
area	330.0285305160965	1.0392440200978047e-73
centroid_x	330.28652337354237	9.132485724425307e-74
date_delta2	576.598277912913	2.7301233611709163e-127
date_delta_total	729.3938712189826	1.9022293752391867e-160
date1	753.9670943161947	8.900774914943886e-166
date0	951.7060785000422	1.2132184829440202e-208
centroid_y	1919.5825568316734	0.0
